"","Community","SPA","SD","CD","ca_ssd","ca_sad","us_cd","DemogSurvCt","YouthSurvCt","SheltHmisCt","totStreetSingAdult","totStreetFamHH","totStreetFamMem","totCars","totVans","totCampers","totTents","totEncamp","totCarPeople","totVanPeople","totCamperPeople","totTentPeople","totEncampPeople","FamCarHH","FamVanHH","FamCamperHH","FamTentHH","FamEncampHH","FamCarPeople","FamVanPeople","FamCamperPeople","FamTentPeople","FamEncampPeople","IndCarPeople","IndVanPeople","IndCamperPeople","IndTentPeople","IndEncampPeople","totYouthFamHH","totESAdultSingAdult","totESAdultFamHH","totESAdultFamMem","totESYouthSingYouth","totESYouthFamHH","totESYouthFamMem","totESYouthUnaccYouth","totTHAdultSingAdult","totTHAdultFamHH","totTHAdultFamMem","totTHYouthSingYouth","totTHYouthFamHH","totTHYouthFamMem","totTHYouthUnaccYouth","totSHAdultSingAdult","totSHAdultFamHH","totSHAdultFamMem","totSHYouthSingYouth","totSHYouthFamHH","totSHYouthFamMem","totSHYouthUnaccYouth","totUnsheltPeople","totESPeople","totTHPeople","totSHPeople","totSheltPeople","totPeople","count_311","count_crime"
"39","Commerce",7,1,0,32,58,40,0,0,298,2,0,0,6,4,25,1,2,9.544,7.232,52.372,1.703,3.852,0.307,0.087,0.792,0.006,0.012,0.908,0.3,2.78,0.021,0.042,8.635,6.932,49.593,1.681,3.81,0,238,0,0,6,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,76.703,244,101,0,345,421.703,0,0
"40","Compton",6,2,0,35,64,44,41,14,0,63,0,0,25,39,71,2,17,39.766,70.516,148.735,3.406,32.737,1.279,0.848,2.25,0.012,0.097,3.785,2.925,7.895,0.042,0.353,35.979,67.592,140.844,3.362,32.385,0,0,56,160,0,0,0,0,0,13,36,0,0,0,0,0,0,0,0,0,0,0,358.16,160,36,0,196,554.16,0,0
"41","Covina",3,5,0,29,55,32,0,1,4,28,0,0,13,5,5,0,3,20.679,9.04,10.475,0,5.778,0.665,0.109,0.159,0,0.018,1.968,0.375,0.556,0,0.063,18.709,8.665,9.919,0,5.715,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,73.972,0,6,0,6,79.972,0,0
"42","Cudahy",7,1,0,33,63,40,16,0,0,14,0,0,1,0,1,0,2,1.591,0,2.095,0,3.851,0.051,0,0.032,0,0.011,0.151,0,0.111,0,0.041,1.439,0,1.984,0,3.81,0,0,49,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.537,140,0,0,140,161.537,0,0
"43","Culver City",5,2,0,30,54,37,6,1,56,46,1,4,20,25,20,1,7,31.813,45.202,41.898,1.703,13.48,1.023,0.543,0.634,0.006,0.04,3.029,1.875,2.224,0.021,0.145,28.783,43.328,39.674,1.681,13.335,0,0,13,38,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184.096,42,0,0,42,226.096,3,0
"44","Cypress Park",4,1,1,24,51,34,0,0,0,4,0,0,5,11,13,0,0,7.953,19.888,27.233,0,0,0.256,0.239,0.412,0,0,0.757,0.825,1.445,0,0,7.196,19.064,25.788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.074,0,0,0,0,59.074,21,7
"45","Del Aire",8,2,0,35,62,43,0,0,0,9,0,0,2,4,6,0,0,3.181,7.232,12.569,0,0,0.102,0.087,0.19,0,0,0.303,0.3,0.667,0,0,2.878,6.933,11.902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.982,0,0,0,0,31.982,0,0
"46","Del Rey",5,2,11,26,54,37,7,0,0,22,0,0,6,13,57,4,10,9.545,23.504,119.406,6.812,19.256,0.306,0.282,1.805,0.023,0.056,0.907,0.975,6.337,0.085,0.206,8.634,22.53,113.07,6.725,19.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200.523,0,0,0,0,200.523,59,3
"47","Diamond Bar",3,4,0,29,55,39,0,0,0,2,0,0,0,0,1,0,0,0,0,2.095,0,0,0,0,0.032,0,0,0,0,0.111,0,0,0,0,1.984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.095,0,0,0,0,4.095,0,0
"48","Downey",7,4,0,32,58,40,3,2,0,38,0,0,19,2,5,12,11,30.223,3.616,10.475,20.434,21.183,0.972,0.043,0.16,0.069,0.063,2.877,0.15,0.555,0.257,0.228,27.344,3.466,9.92,20.175,20.954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123.931,0,0,0,0,123.931,0,0
