FID,Tract,SPA,SD,CD,totUnshelt,totSheltPe,totPeople,Shape__Area,Shape__Length
971,294900,8,4,15,3.095,0,3.095,6.2734707826e-05,0.040432698555997
972,295103,8,4,15,24.693,0,24.693,0.000200282078997,0.079549719924517
973,296210,8,4,15,13.77,0,13.77,5.4441582923e-05,0.028804191125532
974,296220,8,4,15,41.12,0,41.12,5.2185609543e-05,0.029071539882041
975,296300,8,4,15,43.492,0,43.492,0.000103404112392,0.052721815300352
976,296401,8,4,15,1.808,0,1.808,9.6127445513e-05,0.042642270102702
977,296402,8,4,15,9.379,0,9.379,0.000101691039462,0.051277061176588
978,296500,8,4,15,15.75,0,15.75,8.8364437562e-05,0.041830237975978
979,296600,8,4,15,54.578,119,173.578,8.1915383354e-05,0.036621335735079
980,296901,8,4,15,0,0,0,6.0055018344e-05,0.035555299135844
981,296902,8,4,15,19.393,59,78.393,4.7740916926e-05,0.037282640842465
982,297000,8,4,15,0,0,0,0.000140603429722,0.057553332944383
983,297110,8,4,15,88.264,0,88.264,4.7425740396e-05,0.02763726338072
984,297120,8,4,15,21.575,0,21.575,4.3090019194e-05,0.030500107416596
985,297201,8,4,15,4,0,4,3.9295815002e-05,0.02488765429109
986,297202,8,4,15,0,0,0,5.6010219122e-05,0.030343240981858
987,297300,8,4,15,0,0,0,0.000118784699918,0.057239723077974
988,297400,8,4,15,4.591,0,4.591,0.000203697898545,0.065719434208892
989,297500,8,4,15,8.379,0,8.379,0.000197763869077,0.065684173753378
990,297601,8,4,15,5.19,0,5.19,7.2151384025e-05,0.059343926250058
991,297602,8,4,15,1.808,0,1.808,6.0506719971e-05,0.035505479362731
992,609900,8,4,15,23.223,0,23.223,5.2668961777e-05,0.043077499479106
993,702901,5,4,11,30.598,0,30.598,0.000367189894372,0.079770049438792
994,930401,2,3,3,2,0,2,0.000135978577257,0.055944937941378
995,980008,2,3,6,4.19,0,4.19,0.000329599186085,0.100545627632717
996,980009,4,3,4,69.054,0,69.054,0.002078844915778,0.244308399360694
997,980010,4,1,1,1,0,1,0.000374209196448,0.109044167788279
998,980014,8,4,15,148.844,0,148.844,0.000666897278693,0.216585969481898
999,980015,8,4,15,23.57,0,23.57,0.000535187235332,0.107805678612343
1000,980019,5,3,11,0,0,0,0.004314504755348,0.461746029376601
1001,980020,2,5,7,0,0,0,0.000834881559424,0.192553835987324
1002,980021,2,3,7,62.676,0,62.676,0.000679539732799,0.162454592230757
1003,980022,2,5,12,0,0,0,0.000615474961173,0.120552947029193
1004,980023,2,5,12,0,0,0,0.00051064871156,0.123232662621616
