"","FID","Lon","Lat"
"272",2,-118.277297209855,34.2636348769905
"273",2,-118.279377211036,34.2636348767954
"274",2,-118.2794952109,34.2636348776069
"275",2,-118.279495211028,34.2637668774928
"276",2,-118.279495210951,34.2639678771756
"277",2,-118.279476210377,34.2640588776924
"278",2,-118.278965211225,34.2665458780097
"279",2,-118.281224210808,34.2661048775159
"280",2,-118.281678211026,34.2660158774894
"281",2,-118.285283211795,34.2664388774708
"282",2,-118.285414212062,34.2679938771105
"283",2,-118.285545212175,34.269557877493
"284",2,-118.285628212562,34.2705458774087
"285",2,-118.286439212837,34.2706268773976
"286",2,-118.286997212669,34.2706818775674
"287",2,-118.290237212594,34.2710048775872
"288",2,-118.290147213053,34.2738248780231
"289",2,-118.290149213117,34.2740018777092
"290",2,-118.290151213611,34.2741708780825
"291",2,-118.290150213641,34.274394877415
"292",2,-118.290076213123,34.2760448780992
"293",2,-118.290075213826,34.2760888780544
"294",2,-118.290055213548,34.276435877698
"295",2,-118.289958213872,34.2781318781963
"296",2,-118.289911213712,34.2789508783149
"297",2,-118.292681213734,34.2788318782539
"298",2,-118.294116214857,34.2788248780949
"299",2,-118.296982214794,34.2788118778451
"300",2,-118.297378214634,34.2788128776375
"301",2,-118.297773214553,34.2788148774936
"302",2,-118.298959215136,34.2788188780757
"303",2,-118.301365215352,34.2788268778824
"304",2,-118.305920216652,34.2787878770625
"305",2,-118.306349216941,34.2820178778987
"306",2,-118.309603217293,34.2800158768792
"307",2,-118.311687217772,34.278733876716
"308",2,-118.314305217593,34.2787568765299
"309",2,-118.315345218071,34.2787658772329
"310",2,-118.317156217713,34.2787818764408
"311",2,-118.318272218026,34.2787888769024
"312",2,-118.319521218243,34.2788368768137
"313",2,-118.319932218277,34.2788268763329
"314",2,-118.324505219759,34.2788578758627
"315",2,-118.326349220112,34.2788708760271
"316",2,-118.340207221577,34.278966875707
"317",2,-118.340514222251,34.2789698749667
"318",2,-118.345984223593,34.2790078755308
"319",2,-118.346250223335,34.2790098748135
"320",2,-118.348165223443,34.2790228752437
"321",2,-118.35174622398,34.2794398746503
"322",2,-118.351744224045,34.2803468749019
"323",2,-118.351743224214,34.2812548747387
"324",2,-118.351741224542,34.2824798754086
"325",2,-118.349939224418,34.2824778749048
"326",2,-118.344745222864,34.2824718754548
"327",2,-118.343128223041,34.2824698760524
"328",2,-118.337212221663,34.2824588762133
"329",2,-118.333922221312,34.2824528761831
"330",2,-118.328433220567,34.2824428764825
"331",2,-118.326843219971,34.2824398768871
"332",2,-118.326926220903,34.2860648766542
"333",2,-118.324567220473,34.2860698769958
"334",2,-118.323749220453,34.2860718772664
"335",2,-118.318865219226,34.2860818776645
"336",2,-118.318525219363,34.2860828770036
"337",2,-118.317174218533,34.2860868773072
"338",2,-118.316989219291,34.2860878773735
"339",2,-118.316883218697,34.2860878771177
"340",2,-118.313360217791,34.2860958778801
"341",2,-118.310040217572,34.2861028779577
"342",2,-118.309986217289,34.2860988781537
"343",2,-118.309932217401,34.2861028776383
"344",2,-118.308228216877,34.2861068777835
"345",2,-118.307864217154,34.2861068778188
"346",2,-118.300324215574,34.2861018783312
"347",2,-118.299490215464,34.2861008785199
"348",2,-118.299451215871,34.2894358789273
"349",2,-118.299407216368,34.2932638789682
"350",2,-118.295823215585,34.2932508798696
"351",2,-118.290620215507,34.2932328796437
"352",2,-118.290632214632,34.292723880127
"353",2,-118.286608213959,34.2926588795791
"354",2,-118.286298213747,34.2926538799455
"355",2,-118.286319214158,34.2920798798002
"356",3,-118.297931213996,34.263226876217
"357",3,-118.296972213285,34.2632208760652
"358",3,-118.296031213001,34.263215876395
"359",3,-118.295681213318,34.263212875835
"360",3,-118.295155213126,34.2632098761411
"361",3,-118.29435021348,34.2632048761551
"362",3,-118.294204213173,34.2628908759534
"363",3,-118.293306212487,34.2628808760162
"364",3,-118.292313213137,34.2628698763467
"365",3,-118.291321213044,34.2628588760454
"366",3,-118.290085212195,34.2628438763165
"367",3,-118.288479211748,34.2628248769843
"368",3,-118.287640211426,34.2628148765325
"369",3,-118.286817212183,34.2628048765352
"370",3,-118.286498211965,34.2628018769601
"371",3,-118.285754212136,34.2626438771579
"372",3,-118.284925211361,34.262467877204
"373",3,-118.284922211357,34.2617818763614
"374",3,-118.284911211013,34.2594838766047
"375",3,-118.28494021135,34.2582708762804
"376",3,-118.284946211171,34.2579788760006
"377",3,-118.284973210685,34.2567738760551
"378",3,-118.284979210584,34.2564768758586
"379",3,-118.28499221087,34.2558938763294
"380",3,-118.285936211325,34.2558998758874
"381",3,-118.286968211548,34.2559058758797
"382",3,-118.287345210888,34.2559088762376
"383",3,-118.288630212027,34.2559168757162
"384",3,-118.289813211847,34.2559238760982
"385",3,-118.290235212274,34.2559268760125
"386",3,-118.291056211494,34.2559318755437
"387",3,-118.293190212208,34.2559448756782
"388",3,-118.294188212519,34.2559508757271
"389",3,-118.294351212502,34.2559518759786
"390",3,-118.29508921221,34.255955875245
"391",3,-118.295494212451,34.2559588757273
"392",3,-118.296031212255,34.2559618757883
"393",3,-118.2963932124,34.2559638758304
"394",3,-118.296973212457,34.255967875312
"395",3,-118.297931213459,34.2559738750076
"396",3,-118.29946321371,34.2559828750974
"397",3,-118.300242214065,34.2567278750139
"398",3,-118.300991213793,34.2574458750632
"399",3,-118.302303214333,34.2587018756832
"400",3,-118.300924214001,34.2586948751813
"401",3,-118.300906213875,34.2586978751534
"402",3,-118.300883214073,34.2587018756307
"403",3,-118.300836214233,34.2587248751828
"404",3,-118.300808213593,34.2587578751116
"405",3,-118.300799213966,34.2587778754777
"406",3,-118.300796214021,34.2587968755589
"407",3,-118.300796214185,34.258809875686
"408",3,-118.300798213799,34.2595728754217
"409",3,-118.300765213381,34.2596138753576
"410",3,-118.300770214548,34.2632188756713
"411",3,-118.300815214127,34.2632788763833
"412",3,-118.297931213996,34.263226876217
"413",4,-118.385738202647,33.9553088371852
"414",4,-118.385861203295,33.9526368373523
"415",4,-118.385881203083,33.9517238371444
"416",4,-118.38593220281,33.9494448370285
"417",4,-118.385945202192,33.9488258369101
"418",4,-118.38598220289,33.94734883624
"419",4,-118.38605720251,33.9455648367351
"420",4,-118.385598074174,33.9455651902909
"421",4,-118.383434202447,33.9455668366575
"422",4,-118.382987201909,33.9455668360996
"423",4,-118.382924202189,33.9455668359956
"424",4,-118.38158320194,33.9455678360927
"425",4,-118.379975201501,33.9455688369499
"426",4,-118.378707201016,33.9455668362238
"427",4,-118.378678201649,33.9455588369684
"428",4,-118.378477201617,33.9455008370375
"429",4,-118.378207201542,33.9454638369795
"430",4,-118.377976200816,33.9454428370228
"431",4,-118.37738520126,33.9454148363244
"432",4,-118.374973200927,33.9454158367861
"433",4,-118.371121200147,33.9454228368929
"434",4,-118.370146199589,33.9454248368945
"435",4,-118.370049199271,33.9454248370426
"436",4,-118.370049199503,33.9448648371628
"437",4,-118.370049199321,33.944850837347
"438",4,-118.370048199243,33.9438988367134
"439",4,-118.370047199767,33.9431088369644
"440",4,-118.370047199743,33.9430008367227
"441",4,-118.370046199754,33.9417978366861
"442",4,-118.370046199018,33.9417178369852
"443",4,-118.370045199203,33.9408278364033
"444",4,-118.370045199461,33.9407468369124
"445",4,-118.370045199362,33.9407098364445
"446",4,-118.370044198995,33.9401248369028
"447",4,-118.3700441996,33.9399878363689
"448",4,-118.370043199233,33.9381928364611
"449",4,-118.370041199144,33.9357708362633
"450",4,-118.370041198494,33.9356318361968
"451",4,-118.370040198455,33.9348338359394
"452",4,-118.370040198504,33.9345228354494
"453",4,-118.370040198567,33.9342838362784
"454",4,-118.37003919822,33.9337458354229
"455",4,-118.370039198997,33.9334308357881
"456",4,-118.370038198408,33.9329618359952
"457",4,-118.37003819884,33.932798835524
"458",4,-118.370038199018,33.9327768355764
"459",4,-118.370038198739,33.9326898355819
"460",4,-118.370037198267,33.9314068351379
"461",4,-118.370038198395,33.9311158356338
